Ngày,Cao
17/05/2013,34.87
20/05/2013,35.09
21/05/2013,35.27
22/05/2013,34.84
23/05/2013,34.55
24/05/2013,34.28
28/05/2013,35.18
29/05/2013,35.02
30/05/2013,35.25
31/05/2013,35.28
03/06/2013,35.63
04/06/2013,35.74
05/06/2013,34.89
06/06/2013,35.11
07/06/2013,35.78
10/06/2013,35.65
11/06/2013,35.18
12/06/2013,35.27
13/06/2013,35.02
14/06/2013,34.69
17/06/2013,35.16
18/06/2013,35.17
19/06/2013,35.09
20/06/2013,34.33
21/06/2013,33.73
24/06/2013,34.2
25/06/2013,34.38
26/06/2013,34.48
27/06/2013,34.78
28/06/2013,34.79
01/07/2013,34.99
02/07/2013,34.44
03/07/2013,34.37
05/07/2013,34.24
08/07/2013,34.59
09/07/2013,34.6
10/07/2013,34.81
11/07/2013,35.77
12/07/2013,35.73
15/07/2013,36.22
16/07/2013,36.43
17/07/2013,36.39
18/07/2013,35.89
19/07/2013,32.67
22/07/2013,32.01
23/07/2013,32.04
24/07/2013,32.19
25/07/2013,31.65
26/07/2013,31.62
29/07/2013,31.6
30/07/2013,32.12
31/07/2013,32.05
01/08/2013,32.09
02/08/2013,31.9
05/08/2013,32.0
06/08/2013,31.67
07/08/2013,32.1
08/08/2013,33.07
09/08/2013,32.9
12/08/2013,32.97
13/08/2013,32.55
14/08/2013,33.36
15/08/2013,32.18
16/08/2013,31.99
19/08/2013,31.97
20/08/2013,31.9
21/08/2013,32.01
22/08/2013,32.49
23/08/2013,35.2
26/08/2013,34.67
27/08/2013,34.1
28/08/2013,33.6
29/08/2013,33.6
30/08/2013,33.48
03/09/2013,32.07
04/09/2013,31.47
05/09/2013,31.44
06/09/2013,31.39
09/09/2013,31.79
10/09/2013,32.4
11/09/2013,32.93
12/09/2013,32.78
13/09/2013,33.07
16/09/2013,33.5
17/09/2013,33.47
18/09/2013,33.4
19/09/2013,33.68
20/09/2013,33.48
23/09/2013,32.97
24/09/2013,32.87
25/09/2013,32.8
26/09/2013,33.0
27/09/2013,33.75
30/09/2013,33.31
01/10/2013,33.61
02/10/2013,34.03
03/10/2013,34.0
04/10/2013,33.99
07/10/2013,33.71
08/10/2013,33.33
09/10/2013,33.35
10/10/2013,33.89
11/10/2013,34.14
14/10/2013,34.5
15/10/2013,34.99
16/10/2013,34.9
17/10/2013,34.99
18/10/2013,34.99
21/10/2013,35.2
22/10/2013,35.1
23/10/2013,34.49
24/10/2013,34.1
25/10/2013,36.29
28/10/2013,35.73
29/10/2013,35.72
30/10/2013,35.79
31/10/2013,35.69
01/11/2013,35.69
04/11/2013,35.98
